gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Fibroblasts	Epithelial	Pericytes	Neural	Myofibroblast_Mesothelium	Endothelial	Muscle	Immune
EGFR	P00533	True	EGFR_HUMAN	P00533_P04626	CPI-SC01AC9F398	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
ERBB2	P04626	True	ERBB2_HUMAN	P00533_P04626	CPI-SC0635885D0	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
ERBB2	P04626	True	ERBB2_HUMAN	P00533_P04626	CPI-SC0012A9818	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
ERBB2	P04626	True	ERBB2_HUMAN	P00533_P04626	CPI-SC017C5955C	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
ERBB2	P04626	True	ERBB2_HUMAN	P00533_P04626	CPI-SC071625F4B	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
ERBB2	P04626	True	ERBB2_HUMAN	P00533_P04626	CPI-SC0F8F6FB88	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
ERBB2	P04626	True	ERBB2_HUMAN	P00533_P04626	CPI-SC01AC9F398	0.036	0.107	0.084	0.011	0.117	0.012	0.02	0.011
ERBB2	P04626	True	ERBB2_HUMAN	P04626_P21860	CPI-SC0C6400443	0.087	0.395	0.026	0.135	0.057	0.064	0.075	0.035
ERBB2	P04626	True	ERBB2_HUMAN	P04626_P21860	CPI-SC0C5E947B0	0.087	0.395	0.026	0.135	0.057	0.064	0.075	0.035
ERBB2	P04626	True	ERBB2_HUMAN	P04626_Q15303	CPI-SC02133EB36	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB2	P04626	True	ERBB2_HUMAN	P04626_Q15303	CPI-SC07D690F42	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB2	P04626	True	ERBB2_HUMAN	P04626_Q15303	CPI-SC085FA039E	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB2	P04626	True	ERBB2_HUMAN	P04626_Q15303	CPI-SC09FC1B7CA	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB2	P04626	True	ERBB2_HUMAN	P04626_Q15303	CPI-SC05F42AD59	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB2	P04626	True	ERBB2_HUMAN	P04626_Q15303	CPI-SC00F7281E2	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB3	P21860	True	ERBB3_HUMAN	P04626_P21860	CPI-SC0C6400443	0.087	0.395	0.026	0.135	0.057	0.064	0.075	0.035
ERBB3	P21860	True	ERBB3_HUMAN	P04626_P21860	CPI-SC0C5E947B0	0.087	0.395	0.026	0.135	0.057	0.064	0.075	0.035
ERBB4	Q15303	True	ERBB4_HUMAN	P04626_Q15303	CPI-SC02133EB36	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB4	Q15303	True	ERBB4_HUMAN	P04626_Q15303	CPI-SC07D690F42	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB4	Q15303	True	ERBB4_HUMAN	P04626_Q15303	CPI-SC085FA039E	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB4	Q15303	True	ERBB4_HUMAN	P04626_Q15303	CPI-SC09FC1B7CA	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB4	Q15303	True	ERBB4_HUMAN	P04626_Q15303	CPI-SC05F42AD59	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ERBB4	Q15303	True	ERBB4_HUMAN	P04626_Q15303	CPI-SC00F7281E2	0.0	0.001	0.027	0.081	0.0	0.0	0.015	0.0
ITAV	P06756	True	ITAV_HUMAN	P06756_P05556	CPI-SC02759A348	0.126	0.103	0.205	0.123	0.161	0.168	0.092	0.066
ITGAV	P06756	True	ITAV_HUMAN	P06756_P05556	CPI-SC02759A348	0.126	0.103	0.205	0.123	0.161	0.168	0.092	0.066
ITAV	P06756	True	ITAV_HUMAN	P06756_P18084	CPI-SC09D8B9DA2	0.078	0.103	0.205	0.023	0.161	0.132	0.045	0.066
ITGAV	P06756	True	ITAV_HUMAN	P06756_P18084	CPI-SC09D8B9DA2	0.078	0.103	0.205	0.023	0.161	0.132	0.045	0.066
ITAV	P06756	True	ITAV_HUMAN	P06756_P18084	CPI-SC02D41C57E	0.078	0.103	0.205	0.023	0.161	0.132	0.045	0.066
ITGAV	P06756	True	ITAV_HUMAN	P06756_P18084	CPI-SC02D41C57E	0.078	0.103	0.205	0.023	0.161	0.132	0.045	0.066
ITAV	P06756	True	ITAV_HUMAN	P06756_P18564	CPI-SC0411F313E	0.004	0.037	0.002	0.005	0.0	0.0	0.0	0.0
ITGAV	P06756	True	ITAV_HUMAN	P06756_P18564	CPI-SC0411F313E	0.004	0.037	0.002	0.005	0.0	0.0	0.0	0.0
ITB1	P05556	True	ITB1_HUMAN	P06756_P05556	CPI-SC02759A348	0.126	0.103	0.205	0.123	0.161	0.168	0.092	0.066
ITGB1	P05556	True	ITB1_HUMAN	P06756_P05556	CPI-SC02759A348	0.126	0.103	0.205	0.123	0.161	0.168	0.092	0.066
ITB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC0A4615CB0	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC0A4615CB0	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC02C3EC870	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC02C3EC870	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC025C09D3C	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC025C09D3C	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC0BE78B635	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC0BE78B635	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC0485E5143	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGB1	P05556	True	ITB1_HUMAN	P08648_P05556	CPI-SC0485E5143	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITB1	P05556	True	ITB1_HUMAN	P13612_P05556	CPI-SC039D2D108	0.023	0.002	0.112	0.028	0.051	0.004	0.006	0.157
ITGB1	P05556	True	ITB1_HUMAN	P13612_P05556	CPI-SC039D2D108	0.023	0.002	0.112	0.028	0.051	0.004	0.006	0.157
ITB1	P05556	True	ITB1_HUMAN	P13612_P05556	CPI-SC0926171F3	0.023	0.002	0.112	0.028	0.051	0.004	0.006	0.157
ITGB1	P05556	True	ITB1_HUMAN	P13612_P05556	CPI-SC0926171F3	0.023	0.002	0.112	0.028	0.051	0.004	0.006	0.157
ITB1	P05556	True	ITB1_HUMAN	P23229_P05556	CPI-SC0548D4C1F	0.035	0.232	0.036	0.172	0.072	0.811	0.015	0.087
ITGB1	P05556	True	ITB1_HUMAN	P23229_P05556	CPI-SC0548D4C1F	0.035	0.232	0.036	0.172	0.072	0.811	0.015	0.087
ITB1	P05556	True	ITB1_HUMAN	P53708_P05556	CPI-SC0B1A05D68	0.158	0.018	0.133	0.011	0.391	0.038	0.061	0.023
ITGB1	P05556	True	ITB1_HUMAN	P53708_P05556	CPI-SC0B1A05D68	0.158	0.018	0.133	0.011	0.391	0.038	0.061	0.023
ITB1	P05556	True	ITB1_HUMAN	P56199_P05556	CPI-SC0AC81463A	0.086	0.057	0.722	0.441	0.26	0.261	0.444	0.063
ITGB1	P05556	True	ITB1_HUMAN	P56199_P05556	CPI-SC0AC81463A	0.086	0.057	0.722	0.441	0.26	0.261	0.444	0.063
ITB1	P05556	True	ITB1_HUMAN	Q13797_P05556	CPI-SC028967BC9	0.031	0.015	0.014	0.003	0.079	0.095	0.205	0.045
ITGB1	P05556	True	ITB1_HUMAN	Q13797_P05556	CPI-SC028967BC9	0.031	0.015	0.014	0.003	0.079	0.095	0.205	0.045
ITB5	P18084	True	ITB5_HUMAN	P06756_P18084	CPI-SC09D8B9DA2	0.078	0.103	0.205	0.023	0.161	0.132	0.045	0.066
ITGB5	P18084	True	ITB5_HUMAN	P06756_P18084	CPI-SC09D8B9DA2	0.078	0.103	0.205	0.023	0.161	0.132	0.045	0.066
ITB5	P18084	True	ITB5_HUMAN	P06756_P18084	CPI-SC02D41C57E	0.078	0.103	0.205	0.023	0.161	0.132	0.045	0.066
ITGB5	P18084	True	ITB5_HUMAN	P06756_P18084	CPI-SC02D41C57E	0.078	0.103	0.205	0.023	0.161	0.132	0.045	0.066
ITB6	P18564	True	ITB6_HUMAN	P06756_P18564	CPI-SC0411F313E	0.004	0.037	0.002	0.005	0.0	0.0	0.0	0.0
ITGB6	P18564	True	ITB6_HUMAN	P06756_P18564	CPI-SC0411F313E	0.004	0.037	0.002	0.005	0.0	0.0	0.0	0.0
ITA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC0A4615CB0	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC0A4615CB0	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC02C3EC870	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC02C3EC870	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC025C09D3C	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC025C09D3C	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC0BE78B635	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC0BE78B635	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC0485E5143	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
ITGA5	P08648	True	ITA5_HUMAN	P08648_P05556	CPI-SC0485E5143	0.121	0.023	0.093	0.013	0.178	0.653	0.216	0.105
IL6R	P08887	True	IL6RA_HUMAN	P08887_P40189	CPI-SC0691A5039	0.006	0.039	0.006	0.0	0.003	0.004	0.017	0.186
IL6RA	P08887	True	IL6RA_HUMAN	P08887_P40189	CPI-SC0691A5039	0.006	0.039	0.006	0.0	0.003	0.004	0.017	0.186
IL6RB	P40189	True	IL6RB_HUMAN	P08887_P40189	CPI-SC0691A5039	0.006	0.039	0.006	0.0	0.003	0.004	0.017	0.186
IL6ST	P40189	True	IL6RB_HUMAN	P08887_P40189	CPI-SC0691A5039	0.006	0.039	0.006	0.0	0.003	0.004	0.017	0.186
IL6RB	P40189	True	IL6RB_HUMAN	P42702_P40189	CPI-SC05FD083DD	0.121	0.048	0.119	0.084	0.187	0.638	0.049	0.007
IL6ST	P40189	True	IL6RB_HUMAN	P42702_P40189	CPI-SC05FD083DD	0.121	0.048	0.119	0.084	0.187	0.638	0.049	0.007
IL6RB	P40189	True	IL6RB_HUMAN	P42702_P40189	CPI-SC0A174E3F3	0.121	0.048	0.119	0.084	0.187	0.638	0.049	0.007
IL6ST	P40189	True	IL6RB_HUMAN	P42702_P40189	CPI-SC0A174E3F3	0.121	0.048	0.119	0.084	0.187	0.638	0.049	0.007
IL6RB	P40189	True	IL6RB_HUMAN	P42702_P40189	CPI-SC085ED634B	0.121	0.048	0.119	0.084	0.187	0.638	0.049	0.007
IL6ST	P40189	True	IL6RB_HUMAN	P42702_P40189	CPI-SC085ED634B	0.121	0.048	0.119	0.084	0.187	0.638	0.049	0.007
IL6RB	P40189	True	IL6RB_HUMAN	Q14626_P40189	CPI-SC08C22BB9B	0.233	0.055	0.18	0.277	0.354	0.265	0.174	0.016
IL6ST	P40189	True	IL6RB_HUMAN	Q14626_P40189	CPI-SC08C22BB9B	0.233	0.055	0.18	0.277	0.354	0.265	0.174	0.016
IL6RB	P40189	True	IL6RB_HUMAN	Q99650_P40189	CPI-SC097AC037F	0.033	0.005	0.016	0.005	0.053	0.072	0.007	0.0
IL6ST	P40189	True	IL6RB_HUMAN	Q99650_P40189	CPI-SC097AC037F	0.033	0.005	0.016	0.005	0.053	0.072	0.007	0.0
ITAM	P11215	True	ITAM_HUMAN	P11215_P05107	CPI-SC0617AED61	0.001	0.003	0.0	0.005	0.0	0.003	0.0	0.071
ITGAM	P11215	True	ITAM_HUMAN	P11215_P05107	CPI-SC0617AED61	0.001	0.003	0.0	0.005	0.0	0.003	0.0	0.071
ITB2	P05107	True	ITB2_HUMAN	P11215_P05107	CPI-SC0617AED61	0.001	0.003	0.0	0.005	0.0	0.003	0.0	0.071
ITGB2	P05107	True	ITB2_HUMAN	P11215_P05107	CPI-SC0617AED61	0.001	0.003	0.0	0.005	0.0	0.003	0.0	0.071
ITB2	P05107	True	ITB2_HUMAN	P20702_P05107	CPI-SC09C5EF478	0.003	0.002	0.0	0.0	0.002	0.005	0.0	0.322
ITGB2	P05107	True	ITB2_HUMAN	P20702_P05107	CPI-SC09C5EF478	0.003	0.002	0.0	0.0	0.002	0.005	0.0	0.322
ITA4	P13612	True	ITA4_HUMAN	P13612_P05556	CPI-SC039D2D108	0.023	0.002	0.112	0.028	0.051	0.004	0.006	0.157
ITGA4	P13612	True	ITA4_HUMAN	P13612_P05556	CPI-SC039D2D108	0.023	0.002	0.112	0.028	0.051	0.004	0.006	0.157
ITA4	P13612	True	ITA4_HUMAN	P13612_P05556	CPI-SC0926171F3	0.023	0.002	0.112	0.028	0.051	0.004	0.006	0.157
ITGA4	P13612	True	ITA4_HUMAN	P13612_P05556	CPI-SC0926171F3	0.023	0.002	0.112	0.028	0.051	0.004	0.006	0.157
IL1R1	P14778	True	IL1R1_HUMAN	P14778_Q9NPH3	CPI-SC0A571192D	0.019	0.011	0.055	0.0	0.01	0.0	0.004	0.051
IL1R1	P14778	True	IL1R1_HUMAN	P14778_Q9NPH3	CPI-SC0CE052837	0.019	0.011	0.055	0.0	0.01	0.0	0.004	0.051
IL1AP	Q9NPH3	True	IL1AP_HUMAN	P14778_Q9NPH3	CPI-SC0A571192D	0.019	0.011	0.055	0.0	0.01	0.0	0.004	0.051
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	P14778_Q9NPH3	CPI-SC0A571192D	0.019	0.011	0.055	0.0	0.01	0.0	0.004	0.051
IL1AP	Q9NPH3	True	IL1AP_HUMAN	P14778_Q9NPH3	CPI-SC0CE052837	0.019	0.011	0.055	0.0	0.01	0.0	0.004	0.051
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	P14778_Q9NPH3	CPI-SC0CE052837	0.019	0.011	0.055	0.0	0.01	0.0	0.004	0.051
IL7R	P16871	True	IL7RA_HUMAN	P16871_P31785	CPI-SC0DDE73534	0.004	0.004	0.005	0.005	0.0	0.006	0.0	0.451
IL7RA	P16871	True	IL7RA_HUMAN	P16871_P31785	CPI-SC0DDE73534	0.004	0.004	0.005	0.005	0.0	0.006	0.0	0.451
IL2RG	P31785	True	IL2RG_HUMAN	P16871_P31785	CPI-SC0DDE73534	0.004	0.004	0.005	0.005	0.0	0.006	0.0	0.451
ITAX	P20702	True	ITAX_HUMAN	P20702_P05107	CPI-SC09C5EF478	0.003	0.002	0.0	0.0	0.002	0.005	0.0	0.322
ITGAX	P20702	True	ITAX_HUMAN	P20702_P05107	CPI-SC09C5EF478	0.003	0.002	0.0	0.0	0.002	0.005	0.0	0.322
ITA6	P23229	True	ITA6_HUMAN	P23229_P05556	CPI-SC0548D4C1F	0.035	0.232	0.036	0.172	0.072	0.811	0.015	0.087
ITGA6	P23229	True	ITA6_HUMAN	P23229_P05556	CPI-SC0548D4C1F	0.035	0.232	0.036	0.172	0.072	0.811	0.015	0.087
ITA6	P23229	True	ITA6_HUMAN	P23229_P16144	CPI-SC078AA674E	0.02	0.113	0.016	0.026	0.016	0.213	0.013	0.0
ITGA6	P23229	True	ITA6_HUMAN	P23229_P16144	CPI-SC078AA674E	0.02	0.113	0.016	0.026	0.016	0.213	0.013	0.0
ITA6	P23229	True	ITA6_HUMAN	P23229_P16144	CPI-SC089CBCA1A	0.02	0.113	0.016	0.026	0.016	0.213	0.013	0.0
ITGA6	P23229	True	ITA6_HUMAN	P23229_P16144	CPI-SC089CBCA1A	0.02	0.113	0.016	0.026	0.016	0.213	0.013	0.0
ITB4	P16144	True	ITB4_HUMAN	P23229_P16144	CPI-SC078AA674E	0.02	0.113	0.016	0.026	0.016	0.213	0.013	0.0
ITGB4	P16144	True	ITB4_HUMAN	P23229_P16144	CPI-SC078AA674E	0.02	0.113	0.016	0.026	0.016	0.213	0.013	0.0
ITB4	P16144	True	ITB4_HUMAN	P23229_P16144	CPI-SC089CBCA1A	0.02	0.113	0.016	0.026	0.016	0.213	0.013	0.0
ITGB4	P16144	True	ITB4_HUMAN	P23229_P16144	CPI-SC089CBCA1A	0.02	0.113	0.016	0.026	0.016	0.213	0.013	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC00A3D7B85	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC00A3D7B85	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC04E32E133	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC04E32E133	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC0A4764C3E	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC0A4764C3E	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC09274D302	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC09274D302	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC0973C5E87	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC0973C5E87	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC00E673985	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC00E673985	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC020222AEA	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_P27037	CPI-SC020222AEA	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC0C966149F	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC0C966149F	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC023F34EB8	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC023F34EB8	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC0F4AF00A6	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC0F4AF00A6	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC041F09999	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC041F09999	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC054081D62	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC054081D62	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC00536C03B	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC00536C03B	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC03B881D69	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13705	CPI-SC03B881D69	0.026	0.028	0.05	0.075	0.047	0.013	0.009	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC06DC452F4	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC06DC452F4	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC06E958100	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC06E958100	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC0C72C9A68	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC0C72C9A68	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC03B649AD6	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC03B649AD6	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC0BC00868E	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC0BC00868E	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC06411C510	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC06411C510	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC0BD2322CB	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMR1A	P36894	True	BMR1A_HUMAN	P36894_Q13873	CPI-SC0BD2322CB	0.082	0.028	0.098	0.075	0.119	0.013	0.105	0.0
BMPR1A	P36894	True	BMR1A_HUMAN	Q16671_P36894	CPI-SC0D0875A7D	0.002	0.028	0.0	0.005	0.004	0.006	0.011	0.0
BMR1A	P36894	True	BMR1A_HUMAN	Q16671_P36894	CPI-SC0D0875A7D	0.002	0.028	0.0	0.005	0.004	0.006	0.011	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC00A3D7B85	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
AVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC00A3D7B85	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC04E32E133	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
AVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC04E32E133	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC0A4764C3E	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
AVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC0A4764C3E	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC09274D302	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
AVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC09274D302	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC0973C5E87	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
AVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC0973C5E87	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC00E673985	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
AVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC00E673985	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC020222AEA	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
AVR2A	P27037	True	AVR2A_HUMAN	P36894_P27037	CPI-SC020222AEA	0.03	0.028	0.036	0.055	0.03	0.013	0.017	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	P36896_P27037	CPI-SC0A1E7CCAA	0.03	0.043	0.036	0.055	0.03	0.037	0.017	0.01
AVR2A	P27037	True	AVR2A_HUMAN	P36896_P27037	CPI-SC0A1E7CCAA	0.03	0.043	0.036	0.055	0.03	0.037	0.017	0.01
ACVR2A	P27037	True	AVR2A_HUMAN	P36896_P27037	CPI-SC0FD3AE9DD	0.03	0.043	0.036	0.055	0.03	0.037	0.017	0.01
AVR2A	P27037	True	AVR2A_HUMAN	P36896_P27037	CPI-SC0FD3AE9DD	0.03	0.043	0.036	0.055	0.03	0.037	0.017	0.01
ACVR2A	P27037	True	AVR2A_HUMAN	P36896_P27037	CPI-SC0801782AE	0.03	0.043	0.036	0.055	0.03	0.037	0.017	0.01
AVR2A	P27037	True	AVR2A_HUMAN	P36896_P27037	CPI-SC0801782AE	0.03	0.043	0.036	0.055	0.03	0.037	0.017	0.01
